2025-02-25 15:52:38.461 [info] Added views:workbench.panel.chat.view.copilot in workbench.panel.chat
2025-02-25 15:52:38.461 [info] Added views:workbench.panel.chat.view.edits in workbench.panel.chatEditing
2025-02-25 15:52:38.461 [info] Added views:outline in workbench.view.explorer
2025-02-25 15:52:38.461 [info] Added views:workbench.view.search in workbench.view.search
2025-02-25 15:52:38.461 [info] Added views:workbench.scm in workbench.view.scm
2025-02-25 15:52:38.461 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2025-02-25 15:52:38.461 [info] Added views:workbench.panel.output in workbench.panel.output
2025-02-25 15:52:38.461 [info] Added views:terminal in terminal
2025-02-25 15:52:38.461 [info] Added views:timeline in workbench.view.explorer
2025-02-25 15:52:38.461 [info] Added views:workbench.explorer.emptyView in workbench.view.explorer
2025-02-25 15:52:39.054 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-02-25 15:52:39.205 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2025-02-25 15:52:39.365 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2025-02-25 15:52:42.064 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2025-02-25 15:52:42.076 [info] Removed views:workbench.views.extensions.popular from workbench.view.extensions
2025-02-25 15:52:43.062 [info] Added views:workbench.views.extensions.popular in workbench.view.extensions
2025-02-25 15:53:12.982 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2025-02-25 15:53:12.987 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2025-02-25 15:53:18.183 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2025-02-25 15:53:18.190 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2025-02-25 15:53:19.933 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2025-02-25 15:53:19.936 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2025-02-25 15:53:23.335 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2025-02-25 15:53:23.341 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2025-02-25 15:53:24.826 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2025-02-25 15:53:24.829 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2025-02-25 15:53:26.985 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2025-02-25 15:53:26.992 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2025-02-25 15:53:27.916 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2025-02-25 15:53:27.919 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2025-02-25 15:55:18.748 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2025-02-25 15:55:18.755 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2025-02-25 15:55:20.170 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2025-02-25 15:55:20.173 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
